Player;TEAM;GP;MPG;FGM;FGA;FG%;3PM;3PA;3P%;FTM;FTA;FT%;TOV;PF;ORB;DRB;RPG;APG;SPG;BPG;PPG;POS;;
Duop Reath;DAL;3;7.7;1.0;3.0;.333;0.0;0.7;.000;0.3;0.7;.500;0.3;1.3;1.0;2.3;3.3;0.3;0.0;1.0;2.3;C;;
Norbertas Gigas;PHI;4;5.6;1.0;2.0;.500;0.0;0.0;.000;0.2;0.8;.333;0.2;1.5;1.2;0.5;1.8;0.5;0.8;0.0;2.2;C;;
Tai Odiase;PHX;4;8.1;0.5;1.5;.333;0.0;0.0;.000;0.5;1.0;.500;0.0;0.8;0.8;0.5;1.2;0.5;0.0;0.0;1.5;C;;
Dennis Clifford;MIN;4;7.8;0.2;1.0;.250;0.0;0.0;.000;0.5;1.0;.500;0.5;0.8;1.0;1.2;2.2;0.2;0.2;0.2;1.0;C;;
Anas Mahmoud;MEM;6;5.4;0.5;1.0;.500;0.0;0.0;.000;0.0;0.3;.000;0.2;0.3;0.2;0.2;0.3;0.0;0.0;0.5;1.0;C;;
Marvin Jones;NOP;2;9.6;0.5;0.5;1.000;0.0;0.0;.000;0.0;0.0;.000;1.0;2.5;0.5;1.5;2.0;0.5;0.0;0.0;1.0;C;;
Doral Moore;WAS;5;4.2;0.4;0.4;1.000;0.0;0.0;.000;0.0;0.0;.000;0.2;0.4;0.4;0.4;0.8;0.0;0.0;1.0;0.8;C;;
Nana Foulland;MIN;3;3.4;0.0;0.3;.000;0.0;0.0;.000;0.3;0.7;.500;0.0;0.3;0.3;0.0;0.3;0.0;0.3;0.0;0.3;C;;
Tryggvi Hlinason;TOR;2;2.9;0.0;0.0;.000;0.0;0.0;.000;0.0;0.0;.000;0.0;0.0;0.0;0.5;0.5;0.0;0.0;0.0;0.0;C;;
Brandon McCoy;MIL;2;6.9;0.0;1.0;.000;0.0;0.0;.000;0.0;1.0;.000;0.5;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;C;;
